[m1],[m2],[m3],[k1],[k2],[k3]
11996,12289,15985,1142691.094,11394279.62,4144927.329
11996,12289,15985,1142691.094,11394279.62,4144927.329
11996,12289,15985,1142691.094,11394279.62,4144927.329
11996,12289,15985,1142691.094,11394279.62,4144927.329
11996,12289,15985,1142691.094,11394279.62,4144927.329
21407,11681,13576,70178635.56,353417535.5,190151441.3
21407,11681,13576,70178635.56,353417535.5,190151441.3
21407,11681,13576,70178635.56,353417535.5,190151441.3
21407,11681,13576,70178635.56,353417535.5,190151441.3
21407,11681,13576,70178635.56,353417535.5,190151441.3
17460,29020,12639,3666839.665,34979148.73,66647138.84
17460,29020,12639,3666839.665,34979148.73,66647138.84
17460,29020,12639,3666839.665,34979148.73,66647138.84
17460,29020,12639,3666839.665,34979148.73,66647138.84
17460,29020,12639,3666839.665,34979148.73,66647138.84
6634,16708,12846,2238696.702,4561621.939,1278788.238
6634,16708,12846,2238696.702,4561621.939,1278788.238
6634,16708,12846,2238696.702,4561621.939,1278788.238
6634,16708,12846,2238696.702,4561621.939,1278788.238
6634,16708,12846,2238696.702,4561621.939,1278788.238
7724,23337,22823,2935885.387,9832665.863,300525.2505
7724,23337,22823,2935885.387,9832665.863,300525.2505
7724,23337,22823,2935885.387,9832665.863,300525.2505
7724,23337,22823,2935885.387,9832665.863,300525.2505
7724,23337,22823,2935885.387,9832665.863,300525.2505
41592,25353,8588,1466275.135,10066253.45,14995244.2
41592,25353,8588,1466275.135,10066253.45,14995244.2
41592,25353,8588,1466275.135,10066253.45,14995244.2
41592,25353,8588,1466275.135,10066253.45,14995244.2
41592,25353,8588,1466275.135,10066253.45,14995244.2
5393,5897,8637,555428.0181,18656430.5,1033090.431
5393,5897,8637,555428.0181,18656430.5,1033090.431
5393,5897,8637,555428.0181,18656430.5,1033090.431
5393,5897,8637,555428.0181,18656430.5,1033090.431
5393,5897,8637,555428.0181,18656430.5,1033090.431
7792,31982,13395,2400944.75,4010829.046,177913.2342
7792,31982,13395,2400944.75,4010829.046,177913.2342
7792,31982,13395,2400944.75,4010829.046,177913.2342
7792,31982,13395,2400944.75,4010829.046,177913.2342
7792,31982,13395,2400944.75,4010829.046,177913.2342
15030,44473,11616,79438167.95,19065215.96,8683551.253
15030,44473,11616,79438167.95,19065215.96,8683551.253
15030,44473,11616,79438167.95,19065215.96,8683551.253
15030,44473,11616,79438167.95,19065215.96,8683551.253
15030,44473,11616,79438167.95,19065215.96,8683551.253
15692,30242,27159,3395571.814,5577029.356,542639.606
15692,30242,27159,3395571.814,5577029.356,542639.606
15692,30242,27159,3395571.814,5577029.356,542639.606
15692,30242,27159,3395571.814,5577029.356,542639.606
15692,30242,27159,3395571.814,5577029.356,542639.606
5375,6735,9268,2080701.7,4111287.369,6189019.437
5375,6735,9268,2080701.7,4111287.369,6189019.437
5375,6735,9268,2080701.7,4111287.369,6189019.437
5375,6735,9268,2080701.7,4111287.369,6189019.437
5375,6735,9268,2080701.7,4111287.369,6189019.437
9569,5609,30280,9418039.087,17386273.22,953452.5853
9569,5609,30280,9418039.087,17386273.22,953452.5853
9569,5609,30280,9418039.087,17386273.22,953452.5853
9569,5609,30280,9418039.087,17386273.22,953452.5853
9569,5609,30280,9418039.087,17386273.22,953452.5853
8165,27072,11424,490414.5513,57772114.94,30318748.32
8165,27072,11424,490414.5513,57772114.94,30318748.32
8165,27072,11424,490414.5513,57772114.94,30318748.32
8165,27072,11424,490414.5513,57772114.94,30318748.32
8165,27072,11424,490414.5513,57772114.94,30318748.32
14617,37000,10621,60986371.55,2239458371,1607738643
14617,37000,10621,60986371.55,2239458371,1607738643
14617,37000,10621,60986371.55,2239458371,1607738643
14617,37000,10621,60986371.55,2239458371,1607738643
14617,37000,10621,60986371.55,2239458371,1607738643
46174,45644,24036,48699313034,2420408902,4314810990
46174,45644,24036,48699313034,2420408902,4314810990
46174,45644,24036,48699313034,2420408902,4314810990
46174,45644,24036,48699313034,2420408902,4314810990
46174,45644,24036,48699313034,2420408902,4314810990
32195,8255,6708,27586098.28,1059814.756,72286621.87
32195,8255,6708,27586098.28,1059814.756,72286621.87
32195,8255,6708,27586098.28,1059814.756,72286621.87
32195,8255,6708,27586098.28,1059814.756,72286621.87
32195,8255,6708,27586098.28,1059814.756,72286621.87
21835,12178,12651,3088342.84,29620524.72,218290.8876
21835,12178,12651,3088342.84,29620524.72,218290.8876
21835,12178,12651,3088342.84,29620524.72,218290.8876
21835,12178,12651,3088342.84,29620524.72,218290.8876
21835,12178,12651,3088342.84,29620524.72,218290.8876
28158,5130,22424,690941.8655,3292263.104,4630060.617
28158,5130,22424,690941.8655,3292263.104,4630060.617
28158,5130,22424,690941.8655,3292263.104,4630060.617
28158,5130,22424,690941.8655,3292263.104,4630060.617
28158,5130,22424,690941.8655,3292263.104,4630060.617
8314,23607,8351,3189507.446,2146699.024,19960484.01
8314,23607,8351,3189507.446,2146699.024,19960484.01
8314,23607,8351,3189507.446,2146699.024,19960484.01
8314,23607,8351,3189507.446,2146699.024,19960484.01
8314,23607,8351,3189507.446,2146699.024,19960484.01
14107,11548,9919,47978434.02,1462774.27,569396390.3
14107,11548,9919,47978434.02,1462774.27,569396390.3
14107,11548,9919,47978434.02,1462774.27,569396390.3
14107,11548,9919,47978434.02,1462774.27,569396390.3
14107,11548,9919,47978434.02,1462774.27,569396390.3
38992,19326,12894,871903.5338,15927720.53,14723475.41
38992,19326,12894,871903.5338,15927720.53,14723475.41
38992,19326,12894,871903.5338,15927720.53,14723475.41
38992,19326,12894,871903.5338,15927720.53,14723475.41
38992,19326,12894,871903.5338,15927720.53,14723475.41
7566,34524,23823,64839197.82,12211671.4,9580902.713
7566,34524,23823,64839197.82,12211671.4,9580902.713
7566,34524,23823,64839197.82,12211671.4,9580902.713
7566,34524,23823,64839197.82,12211671.4,9580902.713
7566,34524,23823,64839197.82,12211671.4,9580902.713
9129,30970,18505,3211064.106,1630508.733,5013433.802
9129,30970,18505,3211064.106,1630508.733,5013433.802
9129,30970,18505,3211064.106,1630508.733,5013433.802
9129,30970,18505,3211064.106,1630508.733,5013433.802
9129,30970,18505,3211064.106,1630508.733,5013433.802
36756,42248,5858,48731952.93,1919744.11,6603493.015
36756,42248,5858,48731952.93,1919744.11,6603493.015
36756,42248,5858,48731952.93,1919744.11,6603493.015
36756,42248,5858,48731952.93,1919744.11,6603493.015
36756,42248,5858,48731952.93,1919744.11,6603493.015
16669,12382,23076,190185515.3,29813447.3,1297728.278
16669,12382,23076,190185515.3,29813447.3,1297728.278
16669,12382,23076,190185515.3,29813447.3,1297728.278
16669,12382,23076,190185515.3,29813447.3,1297728.278
16669,12382,23076,190185515.3,29813447.3,1297728.278
10158,26419,6635,98042098.85,1602892.884,623417.0059
10158,26419,6635,98042098.85,1602892.884,623417.0059
10158,26419,6635,98042098.85,1602892.884,623417.0059
10158,26419,6635,98042098.85,1602892.884,623417.0059
10158,26419,6635,98042098.85,1602892.884,623417.0059
14931,10928,32734,2864601.767,2726759.182,948556.1128
14931,10928,32734,2864601.767,2726759.182,948556.1128
14931,10928,32734,2864601.767,2726759.182,948556.1128
14931,10928,32734,2864601.767,2726759.182,948556.1128
14931,10928,32734,2864601.767,2726759.182,948556.1128
10108,43678,13903,4619463.8,2272800.414,28920543.33
10108,43678,13903,4619463.8,2272800.414,28920543.33
10108,43678,13903,4619463.8,2272800.414,28920543.33
10108,43678,13903,4619463.8,2272800.414,28920543.33
10108,43678,13903,4619463.8,2272800.414,28920543.33
34657,25003,17458,13021443.38,24161407.08,2431566.361
34657,25003,17458,13021443.38,24161407.08,2431566.361
34657,25003,17458,13021443.38,24161407.08,2431566.361
34657,25003,17458,13021443.38,24161407.08,2431566.361
34657,25003,17458,13021443.38,24161407.08,2431566.361
6670,15083,37450,183181629.4,11283693.36,323322948.1
6670,15083,37450,183181629.4,11283693.36,323322948.1
6670,15083,37450,183181629.4,11283693.36,323322948.1
6670,15083,37450,183181629.4,11283693.36,323322948.1
6670,15083,37450,183181629.4,11283693.36,323322948.1
16962,5543,7371,628190.0103,12042453.23,255876.7373
16962,5543,7371,628190.0103,12042453.23,255876.7373
16962,5543,7371,628190.0103,12042453.23,255876.7373
16962,5543,7371,628190.0103,12042453.23,255876.7373
